CEID,事件名稱 (HT9045 原文),本機發射,Report,備註
1,Start Pressed,★ 會發射,Report 1,Start 且機內無 IC；警報畫面的面板 START 鍵
2,Pause Pressed,★ 會發射,Report 1,Pause(畫面鍵或面板鍵)
3,OneCycle Pressed,★ 會發射,Report 1,One Cycle 受理
4,CleanOut Pressed,★ 會發射,Report 1,Clean Out 受理
5,ClearCount Pressed,★ 會發射,Report 1,Clear Count，操作員確認對話框之後
6,Lot Start,★ 會發射,Report 1,手動 Lot Start
7,Lot,—,,HT9045 語意未定義，無對應動作
8,Lot End,★ 會發射,Report 1,手動 Lot End / Clean Out 完成後自動 Lot End
9,Switch Real Dummy Mode,★ 會發射,Report 1,Real / Dummy 切換
10,Switch Tester Online,—,,測試機專屬(tester / ART / site / 溫控 / 清針 / OTD)，HT-160S 為 sorter，無此機構
11,Switch Production Mode,—,,HT-160S 無「生產/調機」模式切換(僅有 User Level = CEID 16)
12,Switch Engineer Mode,—,,HT-160S 無「一般/工程」模式切換
13,Switch Temperature Mode,—,,測試機專屬(tester / ART / site / 溫控 / 清針 / OTD)，HT-160S 為 sorter，無此機構
14,Switch StartMode,★ 會發射,Report 1,Start Mode(Initial / Continue)切換
15,Switch Setup File,★ 會發射,Report 1,工作檔(recipe)切換
16,Switch UserLevel,★ 會發射,Report 1,使用者權限層級切換
17,Enter Tool Page,★ 會發射,Report 1,進入 Tool 頁
18,Enter Maintenance Page,★ 會發射,Report 1,進入 Maintenance 頁
19,Enter Offset Page,★ 會發射,Report 1,進入 Offset 頁
20,Enter Speed Page,★ 會發射,Report 1,進入 Speed 頁
21,Enter IO Page,★ 會發射,Report 1,進入 I/O 頁，權限檢查通過後
22,Enter Message Page,★ 會發射,Report 1,進入 Message 頁
23,Enter Debug Page,—,,HT-160S 無 Debug 頁
24,Exit Pressed,★ 會發射,Report 1,按下 Exit(於連線拆除前送出)
25,Home Pressed,★ 會發射,Report 1,Home 受理
26,Get Test Result,—,,測試機專屬(tester / ART / site / 溫控 / 清針 / OTD)，HT-160S 為 sorter，無此機構
27,Change Machine State,★ 會發射,Report 1,機台狀態文字變更(本機流量最高的事件)
28,Retry Pressed,★ 會發射,Report 1,面板或畫面 Retry
29,Skip Pressed,★ 會發射,Report 1,面板或畫面 Skip
30,Alarm Reset Pressed,★ 會發射,Report 1,面板或畫面 Alarm Reset
31,Tray End Pressed,★ 會發射,Report 1,面板 TRAY END 鍵
32,Tray Feed Pressed,★ 會發射,Report 1,面板 TRAY FEED 鍵
33,Reset Pressed,—,,面板僅有 ALARM RESET(= CEID 30)，無獨立 Reset 鍵
34,Auto Clean Start,—,,測試機專屬(tester / ART / site / 溫控 / 清針 / OTD)，HT-160S 為 sorter，無此機構
35,Auto1 Full,★ 會發射,Report 1,Auto1 車滿(需 AMR 開啟)
36,Auto2 Full,★ 會發射,Report 1,Auto2 車滿(需 AMR 開啟)
37,Auto3 Full,★ 會發射,Report 1,Auto3 車滿(需 AMR 開啟)
38,Fix1 Full,—,,Fix 固定站滿盤；HT-160S 無 Fix 固定站
39,Fix2 Full,—,,Fix 固定站滿盤；HT-160S 無 Fix 固定站
40,Fix3 Full,—,,Fix 固定站滿盤；HT-160S 無 Fix 固定站
41,One Cycle Finish,★ 會發射,Report 1,One Cycle 走完
42,Clean Out Finish,★ 會發射,Report 1,Clean Out 排空完成(送在 Lot End 之前)
43,DownLoadRecipe,—,,HT9045 韌體同樣只宣告不發射(115 的唯一站點在 9045 被註解)，無可對照的觸發時機
44,Site On Off,—,,測試機專屬(tester / ART / site / 溫控 / 清針 / OTD)，HT-160S 為 sorter，無此機構
45,Arm On Off,—,,測試機專屬(tester / ART / site / 溫控 / 清針 / OTD)，HT-160S 為 sorter，無此機構
46,Change Temp Defaultand Soak Time,—,,測試機專屬(tester / ART / site / 溫控 / 清針 / OTD)，HT-160S 為 sorter，無此機構
47,Change HandlerSpeed,★ 會發射,Report 1,離開 Speed 頁且百分比確實有變更
48,Change EC,★ 會發射,Report 1,S2F15/F16 實際寫入成功(EAC=0 且有值變更)
49,Tray Feed Finish,—,,HT-160S 尚未實作 Tray Feed 結束判定(無 live 進入點)
50,Auto Clean Finish,—,,測試機專屬(tester / ART / site / 溫控 / 清針 / OTD)，HT-160S 為 sorter，無此機構
51,Site Mapping Start,—,,測試機專屬(tester / ART / site / 溫控 / 清針 / OTD)，HT-160S 為 sorter，無此機構
52,Site Mapping End,—,,測試機專屬(tester / ART / site / 溫控 / 清針 / OTD)，HT-160S 為 sorter，無此機構
53,UPH Record Start,★ 會發射,Report 1,某 Auto 站進入 SORTING，一筆 UPH 記錄視窗開啟(6 站各自計)
54,UPH Record End,★ 會發射,Report 1,該盤 UPH 記錄完成並寫入報表清單
55,Initial ART Start,—,,測試機專屬(tester / ART / site / 溫控 / 清針 / OTD)，HT-160S 為 sorter，無此機構
56,Change Tester Program to FT,—,,測試機專屬(tester / ART / site / 溫控 / 清針 / OTD)，HT-160S 為 sorter，無此機構
57,Change Tester Program to RT,—,,測試機專屬(tester / ART / site / 溫控 / 清針 / OTD)，HT-160S 為 sorter，無此機構
58,Ready for ART,—,,測試機專屬(tester / ART / site / 溫控 / 清針 / OTD)，HT-160S 為 sorter，無此機構
59,ART Receive Tray OK,—,,測試機專屬(tester / ART / site / 溫控 / 清針 / OTD)，HT-160S 為 sorter，無此機構
60,ART Receive Tray START,—,,測試機專屬(tester / ART / site / 溫控 / 清針 / OTD)，HT-160S 為 sorter，無此機構
61,RT Finish,—,,測試機專屬(tester / ART / site / 溫控 / 清針 / OTD)，HT-160S 為 sorter，無此機構
62,ART Finish,—,,測試機專屬(tester / ART / site / 溫控 / 清針 / OTD)，HT-160S 為 sorter，無此機構
63,FT Finish,—,,測試機專屬(tester / ART / site / 溫控 / 清針 / OTD)，HT-160S 為 sorter，無此機構
64,DownLoad Recipe by FTP OK,—,,HT-160S 的 FTP 為生產資料上傳，不下載 recipe
65,DownLoad Recipe by FTP NG,—,,同 64
66,Load Tray Finish,★ 會發射,Report 1,Loader 盤到位確認 + 盤身分產生
67,Tray Test Finish,—,,測試機專屬(tester / ART / site / 溫控 / 清針 / OTD)，HT-160S 為 sorter，無此機構
68,Auto Clean Clear Count,—,,測試機專屬(tester / ART / site / 溫控 / 清針 / OTD)，HT-160S 為 sorter，無此機構
