AlarmCode,AlarmType,Class,Payload,OldALID,NewALID,OldDigits,NewDigits,Changed,Registered,Message
JAM0913,0,1,913,3184255201,100000913,10,9,YES,YES,Loader Tray Lost On Carriage
JAM1030,0,1,1030,3184276402,100001030,10,9,YES,YES,Empty Push Tray Miss
JAM1102,0,1,1102,3184277272,100001102,10,9,YES,YES,Auto1 : Auto push tray miss
JAM1111,0,1,1111,3184277302,100001111,10,9,YES,YES,Auto1 : Auto rear tray data but no-tray sensor
JAM1202,0,1,1202,3184278233,100001202,10,9,YES,YES,Auto2 : Auto push tray miss
JAM1211,0,1,1211,3184278263,100001211,10,9,YES,YES,Auto2 : Auto rear tray data but no-tray sensor
JAM1302,0,1,1302,3184279194,100001302,10,9,YES,YES,Auto3 : Auto push tray miss
JAM1311,0,1,1311,3184279224,100001311,10,9,YES,YES,Auto3 : Auto rear tray data but no-tray sensor
JAM1402,0,1,1402,3184280155,100001402,10,9,YES,YES,Auto4 : Auto push tray miss
JAM1411,0,1,1411,3184280185,100001411,10,9,YES,YES,Auto4 : Auto rear tray data but no-tray sensor
JAM1502,0,1,1502,3184281116,100001502,10,9,YES,YES,Auto5 : Auto push tray miss
JAM1511,0,1,1511,3184281146,100001511,10,9,YES,YES,Auto5 : Auto rear tray data but no-tray sensor
JAM1602,0,1,1602,3184282077,100001602,10,9,YES,YES,Auto6 : Auto push tray miss
JAM1611,0,1,1611,3184282107,100001611,10,9,YES,YES,Auto6 : Auto rear tray data but no-tray sensor
WAR0154,8,2,154,1841511208,200000154,10,9,YES,YES,Sorting Arm X motor will out of limit
WAR0330,8,2,330,1841513064,200000330,10,9,YES,YES,Top CCD API not ready
WAR0462,8,2,462,1841514120,200000462,10,9,YES,YES,Top CCD 2D no response (2DID communication time out)
WAR0475,8,2,475,1841514154,200000475,10,9,YES,YES,2D code not found in any lot
WAR0962,1,2,962,1841518925,200000962,10,9,YES,YES,AGV/AMR handshake timeout - AGV did not respond
WAR0963,1,2,963,1841518926,200000963,10,9,YES,YES,SECS link lost - AMR handoff still held; clear the station then RETRY
WAR0970,8,2,970,1841518954,200000970,10,9,YES,YES,Color CCD 2D no response (Tray ID communication time out)
WAR1130,8,2,1130,1841540933,200001130,10,9,YES,YES,Auto1 : Auto feed tray miss
WAR1230,8,2,1230,1841541894,200001230,10,9,YES,YES,Auto2 : Auto feed tray miss
