CEID,RPTIDCount,RPTIDs
1,12,"501 513 502 505 506 507 508 509 514 512 800 801"
9,1,"502"
10,1,"502"
13,2,"509 502"
14,1,"502"
15,1,"502"
19,1,"502"
26,5,"503 501 502 513 508"
27,1,"502"
34,3,"510 502 521"
42,8,"501 513 502 505 506 507 508 509"
44,2,"507 502"
45,2,"512 502"
48,2,"504 502"
49,11,"501 513 502 505 506 507 508 509 514 512 900"
50,2,"511 502"
54,1,"516"
67,1,"524"
70,1,"515"
73,1,"502"
76,12,"501 513 502 505 506 507 508 509 514 512 800 801"
78,1,"517"
80,3,"502 509 700"
125,1,"518"
126,1,"519"
212,1,"522"
213,1,"523"
272,3,"502 2000 2001"
273,2,"502 2000"
274,2,"502 2000"
275,2,"502 2000"
