RPTID,SVIDCount,SVIDs
501,12,"1101 1102 1103 1104 1105 1106 1107 1108 16296 16297 16298 16299"
502,8,"1006 1007 1011 3 1501 1517 1518 1513"
503,3,"1420 6001 6002"
504,3,"20001 20002 20003"
505,179,"9501 9001 9517 9521 9523 9532 9533 16007 16008 16009 16010 16011 16012 1026 3451 3452 2758 2759 2760 2761 2762 2763 2001 2005 2003 2007 2621 2004 2622 2101 2102 9535 9536 16000 16001 16002 16003 9003 9004 9511 9512 9513 9514 9515 9516 9531 9534 9560 9567 9568 9569 9570 9571 9572 9573 9574 9601 9602 9671 9672 9689 9690 4201 4202 4203 4204 4205 4206 4208 4251 4252 4253 4254 4255 4256 4257 4258 4259 4301 4302 4303 4308 4351 4352 4359 4402 4403 4404 4405 4406 4408 4453 4454 4455 4456 4457 4458 4459 4661 4662 4663 4664 4665 4666 4671 4672 4673 4674 4675 4676 4682 4683 4684 4685 4686 4687 4751 4752 4753 4754 4755 4756 4757 4758 4759 4760 4761 4762 4763 4764 4765 4766 4767 4770 4771 4772 4773 4788 4789 4790 4801 4802 4803 4804 4805 4806 4807 4808 4809 4810 4811 4812 4813 4814 4815 4816 3405 3454 2013 2616 3521 3523 37228 8501 8502 8503 8504 8505 38800 35916 2009 2014 2022 3401 2701 2702 2703 2704 2705"
507,4,"1530 1531 3540 3450"
508,6,"1021 1028 1009 1023 1024 1025"
509,38,"4900 1519 1520 1051 1052 1053 1054 1055 1056 1057 1058 1059 1060 1061 1063 1064 1065 1066 1067 1068 1069 1070 1071 1072 1073 1074 1075 1076 1077 1078 1079 1080 1601 1602 1603 1604 1081 1082"
510,20,"9511 9512 9513 9514 9515 9516 9517 9531 9532 9533 9003 9004 9534 9535 9536 9521 9523 9001 9601 9602"
511,1,"9001"
512,2,"3461 3462"
513,6,"1151 1152 1153 1154 1155 1156"
514,4,"16404 16405 16406 16407"
515,1,"37008"
516,2,"1021 1028"
517,1,"37010"
518,4,"1002 1501 4490 4492"
519,4,"1002 1501 4490 4491"
521,1,"9502"
522,6,"22520 22521 22522 22523 22524 22505"
523,6,"22520 22521 22522 22523 22524 22506"
524,3,"38237 38238 38239"
700,21,"1041 1040 1043 1044 1045 1046 1047 1351 1352 1355 1356 1359 1360 1363 1364 2004 2622 2621 2003 37200 3450"
804,12,"1040 1043 38835 4880 4881 4882 4883 4884 4885 4886 4887 4888"
900,24,"1112 1113 1114 1115 1116 1117 1118 1119 1123 1124 1125 1126 1127 1128 1129 1130 1131 1132 1133 1134 1135 1136 1137 1138"
994,8,"37202 37203 37228 37529 37530 37531 37532 37533"
995,2,"38806 38834"
996,15,"9501 9517 9518 9521 9523 9524 9532 9533 9552 9553 9554 9555 9556 9557 9558"
997,9,"38821 38825 38826 38827 38828 38829 38830 38831 38832"
998,5,"38833 10698 11298 11398 11098"
999,3,"2015 2016 2017"
2000,7,"38202 38205 38206 38207 38219 38220 38221"
2001,15,"38222 38223 38224 38225 38226 38227 38228 38229 38230 38231 38232 38233 38234 38235 38236"
