AlarmCode,AlarmType,E_ErrMessage,C_ErrMessage,E_Description,C_Description
40000,4,"The cylinder [C_TrayArmZ_Up_Off] can not off error","The cylinder [C_TrayArmZ_Up_Off] can not off error","[1] check sensor \r\n[2] check wire \r\n[3] check air or air tube","[1] check sensor \r\n[2] check wire \r\n[3] check air or air tube"
40001,4,"The cylinder [C_TrayArmZ_Up_Off] can not on error","The cylinder [C_TrayArmZ_Up_Off] can not on error","[1] check sensor \r\n[2] check wire \r\n[3] check air or air tube","[1] check sensor \r\n[2] check wire \r\n[3] check air or air tube"
40002,4,"The cylinder [C_TrayArmZ_Up_Off] off sensor is on error","The cylinder [C_TrayArmZ_Up_Off] off sensor is on error","[1] check sensor \r\n[2] check wire \r\n[3] check air or air tube","[1] check sensor \r\n[2] check wire \r\n[3] check air or air tube"
40003,4,"The cylinder [C_TrayArmZ_Up_On] can not on error","The cylinder [C_TrayArmZ_Up_On] can not on error","[1] check sensor \r\n[2] check wire \r\n[3] check air or air tube","[1] check sensor \r\n[2] check wire \r\n[3] check air or air tube"
40004,4,"The cylinder [C_TrayArmZ_Up_On] can not off error","The cylinder [C_TrayArmZ_Up_On] can not off error","[1] check sensor \r\n[2] check wire \r\n[3] check air or air tube","[1] check sensor \r\n[2] check wire \r\n[3] check air or air tube"
40005,4,"The cylinder [C_TrayArmZ_Up_On] on sensor is on error","The cylinder [C_TrayArmZ_Up_On] on sensor is on error","[1] check sensor \r\n[2] check wire \r\n[3] check air or air tube","[1] check sensor \r\n[2] check wire \r\n[3] check air or air tube"
40010,4,"The cylinder [C_TrayArmZ_Down_Off] can not off error","The cylinder [C_TrayArmZ_Down_Off] can not off error","[1] check sensor \r\n[2] check wire \r\n[3] check air or air tube","[1] check sensor \r\n[2] check wire \r\n[3] check air or air tube"
40011,4,"The cylinder [C_TrayArmZ_Down_Off] can not on error","The cylinder [C_TrayArmZ_Down_Off] can not on error","[1] check sensor \r\n[2] check wire \r\n[3] check air or air tube","[1] check sensor \r\n[2] check wire \r\n[3] check air or air tube"
40012,4,"The cylinder [C_TrayArmZ_Down_Off] off sensor is on error","The cylinder [C_TrayArmZ_Down_Off] off sensor is on error","[1] check sensor \r\n[2] check wire \r\n[3] check air or air tube","[1] check sensor \r\n[2] check wire \r\n[3] check air or air tube"
40013,4,"The cylinder [C_TrayArmZ_Down_On] can not on error","The cylinder [C_TrayArmZ_Down_On] can not on error","[1] check sensor \r\n[2] check wire \r\n[3] check air or air tube","[1] check sensor \r\n[2] check wire \r\n[3] check air or air tube"
40014,4,"The cylinder [C_TrayArmZ_Down_On] can not off error","The cylinder [C_TrayArmZ_Down_On] can not off error","[1] check sensor \r\n[2] check wire \r\n[3] check air or air tube","[1] check sensor \r\n[2] check wire \r\n[3] check air or air tube"
40015,4,"The cylinder [C_TrayArmZ_Down_On] on sensor is on error","The cylinder [C_TrayArmZ_Down_On] on sensor is on error","[1] check sensor \r\n[2] check wire \r\n[3] check air or air tube","[1] check sensor \r\n[2] check wire \r\n[3] check air or air tube"
40020,4,"The cylinder [C_TrayArm_FrontClamp_Off] can not off error","The cylinder [C_TrayArm_FrontClamp_Off] can not off error","[1] check sensor \r\n[2] check wire \r\n[3] check air or air tube","[1] check sensor \r\n[2] check wire \r\n[3] check air or air tube"
40021,4,"The cylinder [C_TrayArm_FrontClamp_Off] can not on error","The cylinder [C_TrayArm_FrontClamp_Off] can not on error","[1] check sensor \r\n[2] check wire \r\n[3] check air or air tube","[1] check sensor \r\n[2] check wire \r\n[3] check air or air tube"
40022,4,"The cylinder [C_TrayArm_FrontClamp_Off] off sensor is on error","The cylinder [C_TrayArm_FrontClamp_Off] off sensor is on error","[1] check sensor \r\n[2] check wire \r\n[3] check air or air tube","[1] check sensor \r\n[2] check wire \r\n[3] check air or air tube"
40023,4,"The cylinder [C_TrayArm_FrontClamp_On] can not on error","The cylinder [C_TrayArm_FrontClamp_On] can not on error","[1] check sensor \r\n[2] check wire \r\n[3] check air or air tube","[1] check sensor \r\n[2] check wire \r\n[3] check air or air tube"
40024,4,"The cylinder [C_TrayArm_FrontClamp_On] can not off error","The cylinder [C_TrayArm_FrontClamp_On] can not off error","[1] check sensor \r\n[2] check wire \r\n[3] check air or air tube","[1] check sensor \r\n[2] check wire \r\n[3] check air or air tube"
40025,4,"The cylinder [C_TrayArm_FrontClamp_On] on sensor is on error","The cylinder [C_TrayArm_FrontClamp_On] on sensor is on error","[1] check sensor \r\n[2] check wire \r\n[3] check air or air tube","[1] check sensor \r\n[2] check wire \r\n[3] check air or air tube"
40030,4,"The cylinder [C_TrayArm_RearClamp_Off] can not off error","The cylinder [C_TrayArm_RearClamp_Off] can not off error","[1] check sensor \r\n[2] check wire \r\n[3] check air or air tube","[1] check sensor \r\n[2] check wire \r\n[3] check air or air tube"
40031,4,"The cylinder [C_TrayArm_RearClamp_Off] can not on error","The cylinder [C_TrayArm_RearClamp_Off] can not on error","[1] check sensor \r\n[2] check wire \r\n[3] check air or air tube","[1] check sensor \r\n[2] check wire \r\n[3] check air or air tube"
40032,4,"The cylinder [C_TrayArm_RearClamp_Off] off sensor is on error","The cylinder [C_TrayArm_RearClamp_Off] off sensor is on error","[1] check sensor \r\n[2] check wire \r\n[3] check air or air tube","[1] check sensor \r\n[2] check wire \r\n[3] check air or air tube"
40033,4,"The cylinder [C_TrayArm_RearClamp_On] can not on error","The cylinder [C_TrayArm_RearClamp_On] can not on error","[1] check sensor \r\n[2] check wire \r\n[3] check air or air tube","[1] check sensor \r\n[2] check wire \r\n[3] check air or air tube"
40034,4,"The cylinder [C_TrayArm_RearClamp_On] can not off error","The cylinder [C_TrayArm_RearClamp_On] can not off error","[1] check sensor \r\n[2] check wire \r\n[3] check air or air tube","[1] check sensor \r\n[2] check wire \r\n[3] check air or air tube"
40035,4,"The cylinder [C_TrayArm_RearClamp_On] on sensor is on error","The cylinder [C_TrayArm_RearClamp_On] on sensor is on error","[1] check sensor \r\n[2] check wire \r\n[3] check air or air tube","[1] check sensor \r\n[2] check wire \r\n[3] check air or air tube"
40040,4,"The cylinder [C_Empty_FrontRiseTray_1_Off] can not off error","The cylinder [C_Empty_FrontRiseTray_1_Off] can not off error","[1] check sensor \r\n[2] check wire \r\n[3] check air or air tube","[1] check sensor \r\n[2] check wire \r\n[3] check air or air tube"
40041,4,"The cylinder [C_Empty_FrontRiseTray_1_Off] can not on error","The cylinder [C_Empty_FrontRiseTray_1_Off] can not on error","[1] check sensor \r\n[2] check wire \r\n[3] check air or air tube","[1] check sensor \r\n[2] check wire \r\n[3] check air or air tube"
40042,4,"The cylinder [C_Empty_FrontRiseTray_1_Off] off sensor is on error","The cylinder [C_Empty_FrontRiseTray_1_Off] off sensor is on error","[1] check sensor \r\n[2] check wire \r\n[3] check air or air tube","[1] check sensor \r\n[2] check wire \r\n[3] check air or air tube"
40043,4,"The cylinder [C_Empty_FrontRiseTray_1_On] can not on error","The cylinder [C_Empty_FrontRiseTray_1_On] can not on error","[1] check sensor \r\n[2] check wire \r\n[3] check air or air tube","[1] check sensor \r\n[2] check wire \r\n[3] check air or air tube"
40044,4,"The cylinder [C_Empty_FrontRiseTray_1_On] can not off error","The cylinder [C_Empty_FrontRiseTray_1_On] can not off error","[1] check sensor \r\n[2] check wire \r\n[3] check air or air tube","[1] check sensor \r\n[2] check wire \r\n[3] check air or air tube"
40045,4,"The cylinder [C_Empty_FrontRiseTray_1_On] on sensor is on error","The cylinder [C_Empty_FrontRiseTray_1_On] on sensor is on error","[1] check sensor \r\n[2] check wire \r\n[3] check air or air tube","[1] check sensor \r\n[2] check wire \r\n[3] check air or air tube"
40050,4,"The cylinder [C_Empty_FrontRiseTray_2_Off] can not off error","The cylinder [C_Empty_FrontRiseTray_2_Off] can not off error","[1] check sensor \r\n[2] check wire \r\n[3] check air or air tube","[1] check sensor \r\n[2] check wire \r\n[3] check air or air tube"
40051,4,"The cylinder [C_Empty_FrontRiseTray_2_Off] can not on error","The cylinder [C_Empty_FrontRiseTray_2_Off] can not on error","[1] check sensor \r\n[2] check wire \r\n[3] check air or air tube","[1] check sensor \r\n[2] check wire \r\n[3] check air or air tube"
40052,4,"The cylinder [C_Empty_FrontRiseTray_2_Off] off sensor is on error","The cylinder [C_Empty_FrontRiseTray_2_Off] off sensor is on error","[1] check sensor \r\n[2] check wire \r\n[3] check air or air tube","[1] check sensor \r\n[2] check wire \r\n[3] check air or air tube"
40053,4,"The cylinder [C_Empty_FrontRiseTray_2_On] can not on error","The cylinder [C_Empty_FrontRiseTray_2_On] can not on error","[1] check sensor \r\n[2] check wire \r\n[3] check air or air tube","[1] check sensor \r\n[2] check wire \r\n[3] check air or air tube"
40054,4,"The cylinder [C_Empty_FrontRiseTray_2_On] can not off error","The cylinder [C_Empty_FrontRiseTray_2_On] can not off error","[1] check sensor \r\n[2] check wire \r\n[3] check air or air tube","[1] check sensor \r\n[2] check wire \r\n[3] check air or air tube"
40055,4,"The cylinder [C_Empty_FrontRiseTray_2_On] on sensor is on error","The cylinder [C_Empty_FrontRiseTray_2_On] on sensor is on error","[1] check sensor \r\n[2] check wire \r\n[3] check air or air tube","[1] check sensor \r\n[2] check wire \r\n[3] check air or air tube"
40060,4,"The cylinder [C_Empty_PushTray_Off] can not off error","The cylinder [C_Empty_PushTray_Off] can not off error","[1] check sensor \r\n[2] check wire \r\n[3] check air or air tube","[1] check sensor \r\n[2] check wire \r\n[3] check air or air tube"
40061,4,"The cylinder [C_Empty_PushTray_Off] can not on error","The cylinder [C_Empty_PushTray_Off] can not on error","[1] check sensor \r\n[2] check wire \r\n[3] check air or air tube","[1] check sensor \r\n[2] check wire \r\n[3] check air or air tube"
40062,4,"The cylinder [C_Empty_PushTray_Off] off sensor is on error","The cylinder [C_Empty_PushTray_Off] off sensor is on error","[1] check sensor \r\n[2] check wire \r\n[3] check air or air tube","[1] check sensor \r\n[2] check wire \r\n[3] check air or air tube"
40063,4,"The cylinder [C_Empty_PushTray_On] can not on error","The cylinder [C_Empty_PushTray_On] can not on error","[1] check sensor \r\n[2] check wire \r\n[3] check air or air tube","[1] check sensor \r\n[2] check wire \r\n[3] check air or air tube"
40064,4,"The cylinder [C_Empty_PushTray_On] can not off error","The cylinder [C_Empty_PushTray_On] can not off error","[1] check sensor \r\n[2] check wire \r\n[3] check air or air tube","[1] check sensor \r\n[2] check wire \r\n[3] check air or air tube"
40065,4,"The cylinder [C_Empty_PushTray_On] on sensor is on error","The cylinder [C_Empty_PushTray_On] on sensor is on error","[1] check sensor \r\n[2] check wire \r\n[3] check air or air tube","[1] check sensor \r\n[2] check wire \r\n[3] check air or air tube"
40070,4,"The cylinder [C_Empty_LeanOnTray_Off] can not off error","The cylinder [C_Empty_LeanOnTray_Off] can not off error","[1] check sensor \r\n[2] check wire \r\n[3] check air or air tube","[1] check sensor \r\n[2] check wire \r\n[3] check air or air tube"
40071,4,"The cylinder [C_Empty_LeanOnTray_Off] can not on error","The cylinder [C_Empty_LeanOnTray_Off] can not on error","[1] check sensor \r\n[2] check wire \r\n[3] check air or air tube","[1] check sensor \r\n[2] check wire \r\n[3] check air or air tube"
40072,4,"The cylinder [C_Empty_LeanOnTray_Off] off sensor is on error","The cylinder [C_Empty_LeanOnTray_Off] off sensor is on error","[1] check sensor \r\n[2] check wire \r\n[3] check air or air tube","[1] check sensor \r\n[2] check wire \r\n[3] check air or air tube"
40073,4,"The cylinder [C_Empty_LeanOnTray_On] can not on error","The cylinder [C_Empty_LeanOnTray_On] can not on error","[1] check sensor \r\n[2] check wire \r\n[3] check air or air tube","[1] check sensor \r\n[2] check wire \r\n[3] check air or air tube"
