IOType,Alias,Lane,ModuleType,IP,Port,Bit,InType,ISABase,Enable,OnAlarmTime,OffAlarmTime,OnDelayTime,OffDelayTime,Note
Sensor,SnFKPowerOff,,,,,,0,0,0,,,,,COMM_PAD
Sensor,SnFKPowerOn,,,,,,0,0,0,,,,,COMM_PAD
Sensor,SnFrontPadActive,,,,,,0,0,0,,,,,COMM_PAD
Sensor,SnFKReset,,,,,,0,0,0,,,,,COMM_PAD
Sensor,SnFKPause,,,,,,0,0,0,,,,,COMM_PAD
Sensor,SnFKHome,,,,,,0,0,0,,,,,COMM_PAD
Sensor,SnFKStart,,,,,,0,0,0,,,,,COMM_PAD
Sensor,SnFKOneCycle,,,,,,0,0,0,,,,,COMM_PAD
Sensor,SnFKRetry,,,,,,0,0,0,,,,,COMM_PAD
Sensor,SnFKSkip,,,,,,0,0,0,,,,,COMM_PAD
Sensor,SnFKCleanOut,,,,,,0,0,0,,,,,COMM_PAD
Sensor,SnFKTrayFeed,,,,,,0,0,0,,,,,COMM_PAD
Sensor,SnFKTrayEnd,,,,,,0,0,0,,,,,COMM_PAD
Sensor,SnFKAlarmReset,,,,,,0,0,0,,,,,COMM_PAD
Sensor,SnRKPowerOff,,,,,,0,0,0,,,,,COMM_PAD
Sensor,SnRKPowerOn,,,,,,0,0,0,,,,,COMM_PAD
Sensor,SnRearPadActive,,,,,,0,0,0,,,,,COMM_PAD
Sensor,SnRKReset,,,,,,0,0,0,,,,,COMM_PAD
Sensor,SnRKPause,,,,,,0,0,0,,,,,COMM_PAD
Sensor,SnRKHome,,,,,,0,0,0,,,,,COMM_PAD
Sensor,SnRKStart,,,,,,0,0,0,,,,,COMM_PAD
Sensor,SnRKOneCycle,,,,,,0,0,0,,,,,COMM_PAD
Sensor,SnRKRetry,,,,,,0,0,0,,,,,COMM_PAD
Sensor,SnRKSkip,,,,,,0,0,0,,,,,COMM_PAD
Sensor,SnRKCleanOut,,,,,,0,0,0,,,,,COMM_PAD
Sensor,SnRKTrayFeed,,,,,,0,0,0,,,,,COMM_PAD
Sensor,SnRKTray,,,,,,0,0,0,,,,,COMM_PAD
Sensor,SnRKTrayEnd,,,,,,0,0,0,,,,,COMM_PAD
Sensor,SnRKAlarmReset,,,,,,0,0,0,,,,,COMM_PAD
Sensor,SnRKManualStep,,,,,,0,0,0,,,,,COMM_PAD
Sensor,SnRKManualTStart,,,,,,0,0,0,,,,,COMM_PAD
Sensor,SnSafeLock,0,0,32,0,4,0,0,1,,,,,
Sensor,SnRKSafeLock,,,,,,0,0,0,,,,,COMM_PAD
Sensor,SnMotorPower,0,0,0,0,0,1,0,1,,,,,
Sensor,SnAirIsEnough,0,0,0,0,1,1,0,1,,,,,
Sensor,SnIonFan_Balance,2,0,32,1,3,1,0,1,,,,,
Sensor,SnIonFan_Power,2,0,32,1,4,1,0,1,,,,,
Sensor,SnEMG,0,0,0,0,2,1,0,1,,,,,
Sensor,SnEMG_1,2,0,32,0,0,1,0,1,,,,,
Sensor,SnEMG_2,2,0,32,0,1,1,0,1,,,,,
Sensor,SnEMG_3,2,0,32,0,2,1,0,1,,,,,
Sensor,SnEMG_4,2,0,32,0,3,1,0,1,,,,,
Sensor,SnSafeDoorFront,2,0,32,0,5,1,0,1,,,,,
Sensor,SnSafeDoorRight,2,0,32,1,1,1,0,1,,,,,
Sensor,SnSafeDoorLeft,2,0,32,0,6,1,0,1,,,,,
Sensor,SnSafeSlideDoorRight,2,0,32,1,0,1,0,1,,,,,
Sensor,SnSafeSlideDoorLeft,2,0,32,0,7,1,0,1,,,,,
Sensor,SnEmpty_InputHasTray,0,0,1,0,4,0,0,1,,,,,
Sensor,SnEmpty_InputFullTray,0,0,1,0,5,0,0,1,,,,,
Sensor,SnEmpty_TrayPos1,0,0,1,0,6,0,0,1,,,,,
Sensor,SnEmpty_TrayPos2,0,0,1,0,7,1,0,1,,,,,
Sensor,SnEmpty_OutputHasTray,0,0,1,1,2,0,0,1,,,,,
Sensor,SnEmpty_OutputBottomHasTray,0,0,1,1,3,0,0,1,,,,,
Sensor,SnLoader_InputHasTray,0,0,1,2,4,0,0,1,,,,,
Sensor,SnLoader_InputFullTray,0,0,1,2,5,0,0,1,,,,,
Sensor,SnLoader_TrayPos1,0,0,1,2,6,0,0,1,,,,,
Sensor,SnLoader_TrayPos2,0,0,1,2,7,1,0,1,,,,,
Sensor,SnLoader_OutputHasTray,0,0,1,3,4,0,0,1,,,,,
Sensor,SnLoader_OutputBottomHasTray,0,0,1,3,5,0,0,1,,,,,
Sensor,SnAuto1_InputHasTray,0,0,3,0,4,0,0,1,,,,,
Sensor,SnAuto1_InputFullTray,0,0,3,0,5,0,0,1,,,,,
Sensor,SnAuto1_TrayPos1,0,0,3,0,6,0,0,1,,,,,
Sensor,SnAuto1_TrayPos2,0,0,3,0,7,1,0,1,,,,,
Sensor,SnAuto1_OutputHasTray,0,0,3,1,2,0,0,1,,,,,
Sensor,SnAuto1_OutputBottomHasTray,0,0,3,1,3,0,0,1,,,,,
Sensor,SnAuto2_InputHasTray,0,0,3,2,2,0,0,1,,,,,
Sensor,SnAuto2_InputFullTray,0,0,3,2,3,0,0,1,,,,,
Sensor,SnAuto2_TrayPos1,0,0,3,2,4,0,0,1,,,,,
Sensor,SnAuto2_TrayPos2,0,0,3,2,5,1,0,1,,,,,
Sensor,SnAuto2_OutputHasTray,0,0,3,3,0,0,0,1,,,,,
Sensor,SnAuto2_OutputBottomHasTray,0,0,3,3,1,0,0,1,,,,,
Sensor,SnAuto3_InputHasTray,0,0,4,0,0,0,0,1,,,,,
Sensor,SnAuto3_InputFullTray,0,0,4,0,1,0,0,1,,,,,
Sensor,SnAuto3_TrayPos1,0,0,4,0,2,0,0,1,,,,,
Sensor,SnAuto3_TrayPos2,0,0,4,0,3,1,0,1,,,,,
Sensor,SnAuto3_OutputHasTray,0,0,4,0,6,0,0,1,,,,,
Sensor,SnAuto3_OutputBottomHasTray,0,0,4,0,7,0,0,1,,,,,
Sensor,SnAuto4_InputHasTray,0,0,5,0,4,0,0,1,,,,,
Sensor,SnAuto4_InputFullTray,0,0,5,0,5,0,0,1,,,,,
Sensor,SnAuto4_TrayPos1,0,0,5,0,6,0,0,1,,,,,
Sensor,SnAuto4_TrayPos2,0,0,5,0,7,1,0,1,,,,,
Sensor,SnAuto4_OutputHasTray,0,0,5,1,2,0,0,1,,,,,
