Motorname,Alias,Direction,GearRatio,HomeDirectior,HomeHighSpeed,HomeLowSpeed,InitSpeed,JogHighSpeed,JogLowSpeed,Rate,SoftLimitN,SoftLimitP,Enable,ServoAlarmOn,Range,1P2P,SensorType,SimulateSpeed,CardModel,BoardID,Port,Acc,Dec,MotorKind,FlushPanel,HomeOrder,LimitLogic,In1Logic,EncoderDir
M01,MSortingArmX,0,0.5,1,100,10,10,5000,10,1500,-100,170000,1,1,30,1,1,10000,MC88X1,0,0,0.05,0.05,0,,,0,0,1
M02,MTrayArmX,0,1,1,100,10,10,5000,10,2000,-100,173100,1,1,30,1,1,10000,MC88X1,0,1,1,1,0,,,0,0,1
M03,MEmptyY,0,0.9,1,100,10,10,5000,10,1000,-100,83800,1,1,30,1,1,10000,MC88X1,0,2,1,1,0,,,0,0,1
M04,MLoaderY_1,0,0.9,1,100,10,10,5000,10,1500,-100,83800,1,1,30,1,1,10000,MC88X1,0,3,0.1,0.1,0,,,0,0,1
M05,MLoaderY_2,0,0.9,1,100,10,10,5000,10,1500,-100,83800,1,1,30,1,1,10000,MC88X1,0,4,0.05,0.05,0,,,0,0,0
M06,MAutoY_1,0,0.9,1,100,10,10,5000,10,1500,-100,83800,1,1,25,1,1,10000,MC88X1,0,5,0.1,0.1,0,,,0,0,1
M07,MAutoY_2,0,0.9,1,100,10,10,5000,10,1500,-100,83800,1,1,25,1,1,10000,MC88X1,0,6,0.1,0.1,0,,,0,0,1
M08,MAutoY_3,0,0.9,1,100,10,10,5000,10,1500,-100,83800,1,1,25,1,1,10000,MC88X1,0,7,0.1,0.1,0,,,0,0,1
M09,MAutoY_4,0,0.9,1,100,10,10,5000,10,1500,-100,83800,1,1,25,1,1,10000,MC88X1,1,0,0.1,0.1,0,,,0,0,1
M10,MAutoY_5,0,0.9,1,100,10,10,5000,10,1500,-100,83800,1,1,25,1,1,10000,MC88X1,1,1,0.1,0.1,0,,,0,0,1
M11,MAutoY_6,0,0.9,1,100,10,10,5000,10,1500,-100,83800,1,1,25,1,1,10000,MC88X1,1,2,0.1,0.1,0,,,0,0,1
M12,MTopCCDX,0,0.04,1,200,20,100,1000,100,50,-100,15700,1,1,80,1,1,10000,MC88X1,1,3,0.05,0.05,0,,,0,0,1
M13,MBottomCCDY,0,0.1,0,20,10,10,10000,10,450,-10000,10000,0,0,20,1,1,10000,MC88X1,1,4,0.2,0.2,0,,,0,0,1
M14,MSuckZ_1,1,1,1,100,50,10,500,10,450,-4000,500,1,0,20,1,1,10000,MC88X1,2,0,1,1,0,,,0,0,1
M15,MSuckZ_2,1,1,1,100,50,10,500,10,450,-4000,500,1,0,20,1,1,10000,MC88X1,2,1,1,1,0,,,0,0,1
M16,MSuckZ_3,1,1,1,100,50,10,500,10,450,-4000,500,1,0,20,1,1,10000,MC88X1,2,2,1,1,0,,,0,0,1
M17,MSuckZ_4,1,1,1,100,50,10,500,10,450,-4000,500,1,0,20,1,1,10000,MC88X1,2,3,1,1,0,,,0,0,1
M18,MPitchX,0,1,0,20,10,10,2000,10,450,-4000,35000,0,0,20,1,1,10000,MC88X1,1,5,0.2,0.2,0,,,0,0,1
M19,MColorY,0,0.9,1,100,10,10,5000,10,1500,-100,83800,1,1,25,1,1,10000,MC88X1,1,6,1,1,0,,,0,0,1
M20,MTopCCDX_Color,0,0.04,0,200,20,100,1000,100,50,-99999,15700,1,1,80,1,1,10000,MC88X1,1,7,0.05,0.05,0,,,0,0,1
